key,data_version,created,revision
lpl0035,0.92,2021-12-13,2
lpl0036,0.92,2021-12-12,1
lpl0037,0.92,2021-12-13,1
lpl0038,0.92,2021-12-14,2
lpl0039,0.92,2021-12-14,1
lpl0040,0.92,2021-12-16,2
lpl0041,0.92,2021-12-16,2
lpl0042,0.92,2021-12-20,2
lpl0043,0.92,2021-12-20,2
lpl0044,0.92,2021-12-20,2
lpl0045,0.92,2021-12-20,2
lpl0046,0.92,2021-12-22,1
lpl0047,0.92,2021-12-24,2
lpl0001,0.92,2021-11-06,2
lpl0002,0.92,2021-11-06,2
lpl0003,0.92,2021-11-06,1
lpl0004,0.92,2021-11-06,1
lpl0005,0.92,2021-11-06,2
lpl0006,0.92,2021-11-06,2
lpl0007,0.92,2021-11-06,2
lpl0008,0.92,2021-11-06,1
lpl0009,0.92,2021-11-06,1
lpl0010,0.92,2021-11-06,2
lpl0011,0.92,2021-11-06,1
lpl0012,0.92,2021-11-06,2
lpl0013,0.92,2021-11-06,1
lpl0014,0.92,2021-11-06,1
lpl0015,0.92,2021-11-06,2
lpl0016,0.92,2021-11-06,2
lpl0017,0.92,2021-11-06,2
lpl0018,0.92,2021-11-06,1
lpl0019,0.92,2021-11-06,2
lpl0020,0.92,2021-11-06,1
lpl0021,0.92,2021-11-06,2
lpl0022,0.92,2021-11-06,2
lpl0023,0.92,2021-11-06,2
lpl0024,0.92,2021-12-06,1
lpl0025,0.92,2021-12-10,1
lpl0026,0.92,2021-12-06,1
lpl0027,0.92,2021-12-10,1
lpl0028,0.92,2021-12-10,1
lpl0029,0.92,2021-12-10,2
lpl0030,0.92,2021-12-10,1
lpl0031,0.92,2021-12-12,1
lpl0032,0.92,2021-12-10,1
lpl0033,0.92,2021-12-12,2
lpl0034,0.92,2021-12-12,1
lpl0035,0.92,2021-12-13,2
lpl0036,0.92,2021-12-12,1
lpl0037,0.92,2021-12-13,1
lpl0038,0.92,2021-12-14,2
lpl0039,0.92,2021-12-14,1
lpl0040,0.92,2021-12-16,2
lpl0041,0.92,2021-12-16,2
lpl0042,0.92,2021-12-20,2
lpl0043,0.92,2021-12-20,2
lpl0044,0.92,2021-12-20,2
lpl0045,0.92,2021-12-20,2
lpl0046,0.92,2021-12-22,1
lpl0047,0.92,2021-12-24,2
lpl0001,0.92,2021-11-06,2
lpl0002,0.92,2021-11-06,2
lpl0003,0.92,2021-11-06,1
lpl0004,0.92,2021-11-06,1
lpl0005,0.92,2021-11-06,2
lpl0006,0.92,2021-11-06,2
lpl0007,0.92,2021-11-06,2
lpl0008,0.92,2021-11-06,1
lpl0009,0.92,2021-11-06,1
lpl0010,0.92,2021-11-06,2
lpl0011,0.92,2021-11-06,1
lpl0012,0.92,2021-11-06,2
lpl0013,0.92,2021-11-06,1
lpl0014,0.92,2021-11-06,1
lpl0015,0.92,2021-11-06,2
lpl0016,0.92,2021-11-06,2
lpl0017,0.92,2021-11-06,2
lpl0018,0.92,2021-11-06,1
lpl0019,0.92,2021-11-06,2
lpl0020,0.92,2021-11-06,1
lpl0021,0.92,2021-11-06,2
lpl0022,0.92,2021-11-06,2
lpl0023,0.92,2021-11-06,2
lpl0024,0.92,2021-12-06,1
lpl0025,0.92,2021-12-10,1
lpl0026,0.92,2021-12-06,1
lpl0027,0.92,2021-12-10,1
lpl0028,0.92,2021-12-10,1
lpl0029,0.92,2021-12-10,2
lpl0030,0.92,2021-12-10,1
lpl0031,0.92,2021-12-12,1
lpl0032,0.92,2021-12-10,1
lpl0033,0.92,2021-12-12,2
lpl0034,0.92,2021-12-12,1
lpl0035,0.92,2021-12-13,2
lpl0036,0.92,2021-12-12,1
lpl0037,0.92,2021-12-13,1
lpl0038,0.92,2021-12-14,2
lpl0039,0.92,2021-12-14,1
lpl0040,0.92,2021-12-16,2
lpl0041,0.92,2021-12-16,2
lpl0042,0.92,2021-12-20,2
lpl0043,0.92,2021-12-20,2
lpl0044,0.92,2021-12-20,2
lpl0045,0.92,2021-12-20,2
lpl0046,0.92,2021-12-22,1
lpl0047,0.92,2021-12-24,2
lpl0001,0.92,2021-11-06,2
lpl0002,0.92,2021-11-06,2
lpl0003,0.92,2021-11-06,1
lpl0004,0.92,2021-11-06,1
lpl0005,0.92,2021-11-06,2
lpl0006,0.92,2021-11-06,2
lpl0007,0.92,2021-11-06,2
lpl0008,0.92,2021-11-06,1
lpl0009,0.92,2021-11-06,1
lpl0010,0.92,2021-11-06,2
lpl0011,0.92,2021-11-06,1
lpl0012,0.92,2021-11-06,2
lpl0013,0.92,2021-11-06,1
lpl0014,0.92,2021-11-06,1
lpl0015,0.92,2021-11-06,2
lpl0016,0.92,2021-11-06,2
lpl0017,0.92,2021-11-06,2
lpl0018,0.92,2021-11-06,1
lpl0019,0.92,2021-11-06,2
lpl0020,0.92,2021-11-06,1
lpl0021,0.92,2021-11-06,2
lpl0022,0.92,2021-11-06,2
lpl0023,0.92,2021-11-06,2
lpl0024,0.92,2021-12-06,1
lpl0025,0.92,2021-12-10,1
lpl0026,0.92,2021-12-06,1
lpl0027,0.92,2021-12-10,1
lpl0028,0.92,2021-12-10,1
lpl0029,0.92,2021-12-10,2
lpl0030,0.92,2021-12-10,1
lpl0031,0.92,2021-12-12,1
lpl0032,0.92,2021-12-10,1
lpl0033,0.92,2021-12-12,2
lpl0034,0.92,2021-12-12,1
lpl0035,0.92,2021-12-13,2
lpl0036,0.92,2021-12-12,1
lpl0037,0.92,2021-12-13,1
lpl0038,0.92,2021-12-14,2
lpl0039,0.92,2021-12-14,1
lpl0040,0.92,2021-12-16,2
lpl0041,0.92,2021-12-16,2
lpl0042,0.92,2021-12-20,2
lpl0043,0.92,2021-12-20,2
lpl0044,0.92,2021-12-20,2
lpl0045,0.92,2021-12-20,2
lpl0046,0.92,2021-12-22,1
lpl0047,0.92,2021-12-24,2
lpl0001,0.92,2021-11-06,2
lpl0002,0.92,2021-11-06,2
lpl0003,0.92,2021-11-06,1
lpl0004,0.92,2021-11-06,1
lpl0005,0.92,2021-11-06,2
lpl0006,0.92,2021-11-06,2
lpl0007,0.92,2021-11-06,2
lpl0008,0.92,2021-11-06,1
lpl0009,0.92,2021-11-06,1
lpl0010,0.92,2021-11-06,2
lpl0011,0.92,2021-11-06,1
lpl0012,0.92,2021-11-06,2
lpl0013,0.92,2021-11-06,1
lpl0014,0.92,2021-11-06,1
lpl0015,0.92,2021-11-06,2
lpl0016,0.92,2021-11-06,2
lpl0017,0.92,2021-11-06,2
lpl0018,0.92,2021-11-06,1
lpl0019,0.92,2021-11-06,2
lpl0020,0.92,2021-11-06,1
lpl0021,0.92,2021-11-06,2
lpl0022,0.92,2021-11-06,2
lpl0023,0.92,2021-11-06,2
lpl0024,0.92,2021-12-06,1
lpl0025,0.92,2021-12-10,1
lpl0026,0.92,2021-12-06,1
lpl0027,0.92,2021-12-10,1
lpl0028,0.92,2021-12-10,1
lpl0029,0.92,2021-12-10,2
lpl0030,0.92,2021-12-10,1
lpl0031,0.92,2021-12-12,1
lpl0032,0.92,2021-12-10,1
lpl0033,0.92,2021-12-12,2
lpl0034,0.92,2021-12-12,1
lpl0035,0.92,2021-12-13,2
lpl0036,0.92,2021-12-12,1
lpl0037,0.92,2021-12-13,1
lpl0038,0.92,2021-12-14,2
lpl0039,0.92,2021-12-14,1
lpl0040,0.92,2021-12-16,2
lpl0041,0.92,2021-12-16,2
lpl0042,0.92,2021-12-20,2
lpl0043,0.92,2021-12-20,2
lpl0044,0.92,2021-12-20,2
lpl0045,0.92,2021-12-20,2
lpl0046,0.92,2021-12-22,1
lpl0047,0.92,2021-12-24,2
lpl0001,0.92,2021-11-06,2
lpl0002,0.92,2021-11-06,2
lpl0003,0.92,2021-11-06,1
lpl0004,0.92,2021-11-06,1
lpl0005,0.92,2021-11-06,2
lpl0006,0.92,2021-11-06,2
lpl0007,0.92,2021-11-06,2
lpl0008,0.92,2021-11-06,1
lpl0009,0.92,2021-11-06,1
lpl0010,0.92,2021-11-06,2
lpl0011,0.92,2021-11-06,1
lpl0012,0.92,2021-11-06,2
lpl0013,0.92,2021-11-06,1
lpl0014,0.92,2021-11-06,1
lpl0015,0.92,2021-11-06,2
lpl0016,0.92,2021-11-06,2
lpl0017,0.92,2021-11-06,2
lpl0018,0.92,2021-11-06,1
lpl0019,0.92,2021-11-06,2
lpl0020,0.92,2021-11-06,1
lpl0021,0.92,2021-11-06,2
lpl0022,0.92,2021-11-06,2
lpl0023,0.92,2021-11-06,2
lpl0024,0.92,2021-12-06,1
lpl0025,0.92,2021-12-10,1
lpl0026,0.92,2021-12-06,1
lpl0027,0.92,2021-12-10,1
lpl0028,0.92,2021-12-10,1
lpl0029,0.92,2021-12-10,2
lpl0030,0.92,2021-12-10,1
lpl0031,0.92,2021-12-12,1
lpl0032,0.92,2021-12-10,1
lpl0033,0.92,2021-12-12,2
lpl0034,0.92,2021-12-12,1
lpl0035,0.92,2021-12-13,2
lpl0036,0.92,2021-12-12,1
lpl0037,0.92,2021-12-13,1
lpl0038,0.92,2021-12-14,2
lpl0039,0.92,2021-12-14,1
lpl0040,0.92,2021-12-16,2
lpl0041,0.92,2021-12-16,2
lpl0042,0.92,2021-12-20,2
lpl0043,0.92,2021-12-20,2
lpl0044,0.92,2021-12-20,2
lpl0045,0.92,2021-12-20,2
lpl0046,0.92,2021-12-22,1
lpl0047,0.92,2021-12-24,2
lpl0001,0.92,2021-11-06,2
lpl0002,0.92,2021-11-06,2
lpl0003,0.92,2021-11-06,1
lpl0004,0.92,2021-11-06,1
lpl0005,0.92,2021-11-06,2
lpl0006,0.92,2021-11-06,2
lpl0007,0.92,2021-11-06,2
lpl0008,0.92,2021-11-06,1
lpl0009,0.92,2021-11-06,1
lpl0010,0.92,2021-11-06,2
lpl0011,0.92,2021-11-06,1
lpl0012,0.92,2021-11-06,2
lpl0013,0.92,2021-11-06,1
lpl0014,0.92,2021-11-06,1
lpl0015,0.92,2021-11-06,2
lpl0016,0.92,2021-11-06,2
lpl0017,0.92,2021-11-06,2
lpl0018,0.92,2021-11-06,1
lpl0019,0.92,2021-11-06,2
lpl0020,0.92,2021-11-06,1
lpl0021,0.92,2021-11-06,2
lpl0022,0.92,2021-11-06,2
lpl0023,0.92,2021-11-06,2
lpl0024,0.92,2021-12-06,1
lpl0025,0.92,2021-12-10,1
lpl0026,0.92,2021-12-06,1
lpl0027,0.92,2021-12-10,1
lpl0028,0.92,2021-12-10,1
lpl0029,0.92,2021-12-10,2
lpl0030,0.92,2021-12-10,1
lpl0031,0.92,2021-12-12,1
lpl0032,0.92,2021-12-10,1
lpl0033,0.92,2021-12-12,2
lpl0034,0.92,2021-12-12,1
lpl0035,0.92,2021-12-13,2
lpl0036,0.92,2021-12-12,1
lpl0037,0.92,2021-12-13,1
lpl0038,0.92,2021-12-14,2
lpl0039,0.92,2021-12-14,1
lpl0040,0.92,2021-12-16,2
lpl0041,0.92,2021-12-16,2
lpl0042,0.92,2021-12-20,2
lpl0043,0.92,2021-12-20,2
lpl0044,0.92,2021-12-20,2
lpl0045,0.92,2021-12-20,2
lpl0046,0.92,2021-12-22,1
lpl0047,0.92,2021-12-24,2
lpl0001,0.92,2021-11-06,2
lpl0002,0.92,2021-11-06,2
lpl0003,0.92,2021-11-06,1
lpl0004,0.92,2021-11-06,1
lpl0005,0.92,2021-11-06,2
lpl0006,0.92,2021-11-06,2
lpl0007,0.92,2021-11-06,2
lpl0008,0.92,2021-11-06,1
lpl0009,0.92,2021-11-06,1
lpl0010,0.92,2021-11-06,2
lpl0011,0.92,2021-11-06,1
lpl0012,0.92,2021-11-06,2
lpl0013,0.92,2021-11-06,1
lpl0014,0.92,2021-11-06,1
lpl0015,0.92,2021-11-06,2
lpl0016,0.92,2021-11-06,2
lpl0017,0.92,2021-11-06,2
lpl0018,0.92,2021-11-06,1
lpl0019,0.92,2021-11-06,2
lpl0020,0.92,2021-11-06,1
lpl0021,0.92,2021-11-06,2
lpl0022,0.92,2021-11-06,2
lpl0023,0.92,2021-11-06,2
lpl0024,0.92,2021-12-06,1
lpl0025,0.92,2021-12-10,1
lpl0026,0.92,2021-12-06,1
lpl0027,0.92,2021-12-10,1
lpl0028,0.92,2021-12-10,1
lpl0029,0.92,2021-12-10,2
lpl0030,0.92,2021-12-10,1
lpl0031,0.92,2021-12-12,1
lpl0032,0.92,2021-12-10,1
lpl0033,0.92,2021-12-12,2
lpl0034,0.92,2021-12-12,1
lpl0035,0.92,2021-12-13,2
lpl0036,0.92,2021-12-12,1
lpl0037,0.92,2021-12-13,1
lpl0038,0.92,2021-12-14,2
lpl0039,0.92,2021-12-14,1
lpl0040,0.92,2021-12-16,2
lpl0041,0.92,2021-12-16,2
lpl0042,0.92,2021-12-20,2
lpl0043,0.92,2021-12-20,2
lpl0044,0.92,2021-12-20,2
lpl0045,0.92,2021-12-20,2
lpl0046,0.92,2021-12-22,1
lpl0047,0.92,2021-12-24,2
lpl0001,0.92,2021-11-06,2
lpl0002,0.92,2021-11-06,2
lpl0003,0.92,2021-11-06,1
lpl0004,0.92,2021-11-06,1
lpl0005,0.92,2021-11-06,2
lpl0006,0.92,2021-11-06,2
lpl0007,0.92,2021-11-06,2
lpl0008,0.92,2021-11-06,1
lpl0009,0.92,2021-11-06,1
lpl0010,0.92,2021-11-06,2
lpl0011,0.92,2021-11-06,1
lpl0012,0.92,2021-11-06,2
lpl0013,0.92,2021-11-06,1
lpl0014,0.92,2021-11-06,1
lpl0015,0.92,2021-11-06,2
lpl0016,0.92,2021-11-06,2
lpl0017,0.92,2021-11-06,2
lpl0018,0.92,2021-11-06,1
lpl0019,0.92,2021-11-06,2
lpl0020,0.92,2021-11-06,1
lpl0021,0.92,2021-11-06,2
lpl0022,0.92,2021-11-06,2
lpl0023,0.92,2021-11-06,2
lpl0024,0.92,2021-12-06,1
lpl0025,0.92,2021-12-10,1
lpl0026,0.92,2021-12-06,1
lpl0027,0.92,2021-12-10,1
lpl0028,0.92,2021-12-10,1
lpl0029,0.92,2021-12-10,2
lpl0030,0.92,2021-12-10,1
lpl0031,0.92,2021-12-12,1
lpl0032,0.92,2021-12-10,1
lpl0033,0.92,2021-12-12,2
lpl0034,0.92,2021-12-12,1
lpl0035,0.92,2021-12-13,2
lpl0036,0.92,2021-12-12,1
lpl0037,0.92,2021-12-13,1
lpl0038,0.92,2021-12-14,2
lpl0039,0.92,2021-12-14,1
lpl0040,0.92,2021-12-16,2
lpl0041,0.92,2021-12-16,2
lpl0042,0.92,2021-12-20,2
lpl0043,0.92,2021-12-20,2
lpl0044,0.92,2021-12-20,2
lpl0045,0.92,2021-12-20,2
lpl0046,0.92,2021-12-22,1
lpl0047,0.92,2021-12-24,2
lpl0001,0.92,2021-11-06,2
lpl0002,0.92,2021-11-06,2
lpl0003,0.92,2021-11-06,1
lpl0004,0.92,2021-11-06,1
lpl0005,0.92,2021-11-06,2
lpl0006,0.92,2021-11-06,2
lpl0007,0.92,2021-11-06,2
lpl0008,0.92,2021-11-06,1
lpl0009,0.92,2021-11-06,1
lpl0010,0.92,2021-11-06,2
lpl0011,0.92,2021-11-06,1
lpl0012,0.92,2021-11-06,2
lpl0013,0.92,2021-11-06,1
lpl0014,0.92,2021-11-06,1
lpl0015,0.92,2021-11-06,2
lpl0016,0.92,2021-11-06,2
lpl0017,0.92,2021-11-06,2
lpl0018,0.92,2021-11-06,1
lpl0019,0.92,2021-11-06,2
lpl0020,0.92,2021-11-06,1
lpl0021,0.92,2021-11-06,2
lpl0022,0.92,2021-11-06,2
lpl0023,0.92,2021-11-06,2
lpl0024,0.92,2021-12-06,1
lpl0025,0.92,2021-12-10,1
lpl0026,0.92,2021-12-06,1
lpl0027,0.92,2021-12-10,1
lpl0028,0.92,2021-12-10,1
lpl0029,0.92,2021-12-10,2
lpl0030,0.92,2021-12-10,1
lpl0031,0.92,2021-12-12,1
lpl0032,0.92,2021-12-10,1
lpl0033,0.92,2021-12-12,2
lpl0034,0.92,2021-12-12,1
lpl0035,0.92,2021-12-13,2
lpl0036,0.92,2021-12-12,1
lpl0037,0.92,2021-12-13,1
lpl0038,0.92,2021-12-14,2
lpl0039,0.92,2021-12-14,1
lpl0040,0.92,2021-12-16,2
lpl0041,0.92,2021-12-16,2
lpl0042,0.92,2021-12-20,2
lpl0043,0.92,2021-12-20,2
lpl0044,0.92,2021-12-20,2
lpl0045,0.92,2021-12-20,2
lpl0046,0.92,2021-12-22,1
lpl0047,0.92,2021-12-24,2
